NAME, PRICE, NUMBER_OF_BEDROOMS, NUMBER_OF_BATHROOMS, HOUSE_SIZE, DESCRIPTION_HOUSE, DESCRIPTION_NEIGHBOURHOOD
Contemporary Townhouse with Private Garden," $700,000",3,2.5, 1800 sqft," ""Enjoy the best of indoor and outdoor living in this modern townhouse with a private garden. With 3 bedrooms, 2.5 bathrooms, and high-end finishes throughout."""," ""Conveniently located in a family-friendly neighbourhood with parks, schools, and shopping nearby."""
Stunning Waterfront Estate," $2,000,000",6,5.0, 6000 sqft," ""Live like you're on vacation every day in this breathtaking waterfront estate. Boasting 6 bedrooms, 5 bathrooms, and a private dock for boating and water activities."""," ""Located in an exclusive neighbourhood with million-dollar views and access to a private beach."""
Cozy Cabin in the Mountains," $250,000",1,1.0, 800 sqft," ""Escape to the mountains in this charming cabin. Featuring 1 bedroom, 1 bathroom, and a wood-burning stove for a cozy and rustic feel."""," ""Situated in a secluded area with stunning mountain views and plenty of outdoor activities to enjoy."""
Modern Townhome with Rooftop Deck," $500,000",2,2.5, 1600 sqft," ""This sleek and stylish townhome offers the perfect urban oasis. With 2 bedrooms, 2.5 bathrooms, and a rooftop deck for entertaining and enjoying city views."""," ""Located in a trendy neighbourhood with a vibrant nightlife and easy access to public transportation."""
Spacious Family Home with In-Ground Pool," $800,000",4,3.0, 2800 sqft," ""This spacious family home is an entertainer's dream with an in-ground pool and patio area. Boasting 4 bedrooms, 3 bathrooms, and a large backyard for outdoor fun."""," ""Situated in a desirable neighbourhood with top-rated schools and parks, perfect for raising a family."""
Charming Cottage with Riverfront Views," $400,000",2,1.0, 1200 sqft," ""Enjoy peaceful riverfront living in this charming cottage. Featuring 2 bedrooms, 1 bathroom, and a deck for taking in the scenic views."""," ""Located in a quaint town with a strong sense of community and plenty of outdoor activities to enjoy."""
Modern Condo with City Skyline Views," $600,000",2,2.0, 1000 sqft," ""Experience city living at its finest in this modern condo with stunning skyline views. With 2 bedrooms, 2 bathrooms, and high-end finishes throughout."""," ""Conveniently located in a bustling neighbourhood with easy access to restaurants, shops, and public transportation."""
Stunning Colonial Mansion," $3,000,000",7,6.0, 8000 sqft," ""Live like royalty in this grand colonial mansion. Boasting 7 bedrooms, 6 bathrooms, and a sprawling backyard with a pool and tennis court."""," ""Situated in an exclusive neighbourhood with large lots and mature trees, providing a sense of privacy and luxury."""
Chic Loft in Converted Church," $500,000",1,1.0, 900 sqft," ""Experience loft living in this unique converted church. Featuring 1 bedroom, 1 bathroom, and soaring ceilings with original stained glass windows."""," ""Located in a trendy neighbourhood with a vibrant arts and culture scene, and close to public transportation for easy commuting."""
Secluded Mountain Retreat," $1,000,000",3,2.5, 4000 sqft," ""Escape to this secluded mountain retreat surrounded by nature. With 3 bedrooms, 2.5 bathrooms, and a wrap-around deck for enjoying the peaceful surroundings."""," ""Situated on a large lot with stunning mountain views and plenty of privacy, yet still within driving distance to city amenities."""
Contemporary Townhouse with Private Rooftop Terrace," $700,000",3,2.5, 2000 sqft," ""This modern townhouse offers the best of indoor and outdoor living with a private rooftop terrace. Featuring 3 bedrooms, 2.5 bathrooms, and high-end finishes throughout."""," ""Conveniently located in a vibrant neighbourhood with trendy restaurants, bars, and shops."""
Stunning Waterfront Penthouse," $2,500,000",4,4.5, 5000 sqft," ""Live in luxury in this stunning waterfront penthouse. Boasting 4 bedrooms, 4.5 bathrooms, and floor-to-ceiling windows offering panoramic views of the ocean."""," ""Located in an exclusive building with top-of-the-line amenities and access to a private beach."""
Cozy Log Cabin with Mountain Views," $300,000",2,1.0, 1000 sqft," ""Escape to this cozy log cabin with breathtaking mountain views. Featuring 2",
